track_name,artists,tempo,energy,loudness,valence
No Other Name,Hillsong Worship,148.014,0.598,-6.984,0.0466
Failed Organum,Internal Rot,122.223,0.997,-3.586,0.0294
"Save the Trees, Pt. 1",Zhoobin Askarieh;Ali Sasha,75.564,0.803,-10.071,0.0887
It's Only Make Believe,Billy Fury,84.185,0.382,-13.438,0.462
月の大きさ,Nogizaka46,92.487,0.941,-3.294,0.813
"Jah Jah Revolta, Pt. 2",BaianaSystem,143.989,0.8,-4.704,0.583
Please Stop Communicating,Joe DeRosa,119.197,0.815,-6.959,0.532
A Form of Protest,Cane Hill,92.53,0.933,-3.6,0.194
I'm Ready - Radio Edit,Kano,126.632,0.766,-5.662,0.9
Proibida Pra Mim (Grazon) - Ao Vivo,Charlie Brown Jr.,181.121,0.976,-4.74,0.818
I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,Kacey Musgraves;Lana Del Rey,139.592,0.183,-15.414,0.381
時間がない,KIRINJI,126.033,0.675,-9.154,0.68
Sur,Aníbal Troilo Y Su Orquesta Típica;Roberto Goyeneche,111.213,0.401,-11.219,0.507
Zombie Zoo,Tom Petty,116.222,0.886,-10.653,0.819
In Case You Didn’t Know,Boyce Avenue,147.549,0.299,-7.798,0.341
O Sopro do Fole,Maria Bethânia,93.672,0.0856,-17.766,0.316
Vi Mamãe Oxum Na Cachoeira - Live,Mariene De Castro,126.911,0.697,-8.046,0.815
Me Gabber - DJ Paul Elstak & The BeatKrusher Remix,Jebroer;Paul Elstak;The BeatKrusher,160.044,0.928,-3.544,0.305
Into Your Arms (feat. Ava Max),Witt Lowry;Ava Max,170.039,0.788,-4.113,0.228
Mocca,Lalo Ebratt;Trapical,97.956,0.696,-5.343,0.591
Nobody Can Save Me,Linkin Park,139.957,0.688,-4.749,0.433
all the good girls go to hell,Billie Eilish,92.545,0.446,-8.957,0.57
Machine Spirit,ZITH;Misanthropix,104.99,0.956,-3.385,0.515
Satisfied,Chris Tomlin,87.991,0.786,-3.628,0.381
Time To Jack,Chip E.,122.93,0.863,-8.587,0.717
Ready fi di party,Tony Matterhorn,120.999,0.616,-12.46,0.467
Mis Noches Te Recuerdan,Los Tukas,108.002,0.574,-5.427,0.845
Sometimes Love,Apache Indian,107.883,0.806,-3.875,0.88
Everybody Loves Louis,Annaleigh Ashford,117.833,0.189,-10.74,0.301
Planet Zero,Shinedown,157.925,0.964,-2.967,0.212
Do You?,Yiruma,107.449,0.101,-18.753,0.222
Paris,The Chainsmokers,99.99,0.658,-6.428,0.219
Vê se decide,Tim Maia,123.382,0.743,-6.656,0.961
"La rondine, SC 83: Chi il bel sogno di Doretta",Giacomo Puccini;Renée Fleming;English Chamber Orchestra;Jeffrey Tate,85.418,0.136,-18.882,0.0374
O Resgate,Realidade Cruel,152.59,0.732,-5.206,0.436
Deixa o Verão,Los Hermanos,136.987,0.811,-6.509,0.966
Silo (feat. fknsyd),RL Grime;Hex Cougar;fknsyd,159.949,0.933,-4.985,0.326
Ferxxo 100,Feid,163.893,0.562,-3.378,0.569
Rollin' (Air Raid Vehicle),Limp Bizkit,96.306,0.933,-3.358,0.709
Ruega por Mí (Prega Per Me),Estela Nuñez,96.387,0.404,-10.108,0.386
Holding,Yonder Mountain String Band,104.656,0.702,-8.965,0.351
The Farthest Star,VNV Nation,134.98,0.937,-6.738,0.347
Get It On,T. Rex,126.59,0.878,-6.926,0.911
